source,samples,accuracy,precision,recall,f1,tn,fp,fn,tp
pucpr,905,0.9524861878453039,0.9102564102564102,0.9976580796252927,0.9519553072625698,436,42,1,426
ufpr04,235,0.9957446808510638,1.0,0.9903846153846154,0.9951690821256038,131,0,1,103
ufpr05,360,0.9972222222222222,1.0,0.9954337899543378,0.9977116704805492,141,0,1,218
